user_id,acquisition_date,channel,first_session_seconds,registered,activated,retained_d1,retained_d3,retained_d7,retained_d30
U000137,2026-01-01,Search,54,1,1,0,0,0,0
U000142,2026-01-01,Organic,11,1,1,0,0,0,0
U000201,2026-01-01,Paid Social,13,0,0,1,0,0,0
U000253,2026-01-01,Referral,228,0,0,1,0,0,0
U000320,2026-01-01,Paid Social,128,0,0,0,0,0,0
U000335,2026-01-01,Paid Social,74,0,0,0,0,1,0
U000421,2026-01-01,Paid Social,31,0,0,1,0,0,0
U000458,2026-01-01,Organic,319,1,1,1,0,1,0
U000478,2026-01-01,Paid Social,48,1,0,0,0,0,0
U000507,2026-01-01,Organic,331,0,0,0,0,0,0
U000531,2026-01-01,Referral,129,1,0,0,1,0,0
U000561,2026-01-01,Paid Social,141,0,0,0,1,0,0
U000586,2026-01-01,Search,1216,0,0,0,0,0,0
U000704,2026-01-01,Paid Social,117,1,1,0,0,0,0
U000843,2026-01-01,Organic,23,0,0,0,1,0,0
U000903,2026-01-01,Organic,35,1,0,1,0,0,1
U000991,2026-01-01,Search,873,0,0,0,0,0,0
U001046,2026-01-01,Referral,208,1,1,0,0,1,0
U001068,2026-01-01,Search,260,0,0,0,0,0,0
U001104,2026-01-01,Paid Social,80,1,1,1,0,0,0
U001135,2026-01-01,Organic,31,0,0,1,0,0,1
U001284,2026-01-01,Paid Social,93,1,0,0,0,0,0
U001321,2026-01-01,Search,118,1,1,1,0,0,0
U001375,2026-01-01,Organic,236,0,0,1,0,0,1
U001403,2026-01-01,Referral,161,0,0,0,1,1,0
U001443,2026-01-01,Paid Social,242,1,1,0,0,0,0
U001590,2026-01-01,Paid Social,26,0,0,0,0,0,0
U001613,2026-01-01,Paid Social,351,1,1,1,0,0,0
U001616,2026-01-01,Search,65,1,1,0,1,1,0
U001649,2026-01-01,Search,130,1,1,0,0,0,0
U001703,2026-01-01,Paid Social,102,1,1,1,1,0,0
U001790,2026-01-01,Organic,120,1,0,1,0,0,0
U001932,2026-01-01,Paid Social,251,1,1,0,0,1,0
U002004,2026-01-01,Paid Social,60,0,0,0,0,0,0
U002071,2026-01-01,Search,97,0,0,0,0,0,0
U002132,2026-01-01,Organic,134,1,1,0,1,0,0
U002192,2026-01-01,Paid Social,241,0,0,0,1,0,1
U002203,2026-01-01,Organic,36,0,0,1,0,0,0
U002265,2026-01-01,Paid Social,216,1,0,0,0,0,0
U002293,2026-01-01,Paid Social,24,0,0,1,0,0,0
U002307,2026-01-01,Organic,89,0,0,1,0,0,0
U002319,2026-01-01,Organic,53,1,1,0,0,0,0
U002349,2026-01-01,Organic,44,1,1,1,0,0,0
U002433,2026-01-01,Organic,139,1,0,1,0,0,0
U002478,2026-01-01,Paid Social,47,1,1,0,0,1,0
U002716,2026-01-01,Search,31,0,0,0,0,1,0
U002756,2026-01-01,Paid Social,32,1,1,0,1,0,0
U002829,2026-01-01,Search,72,1,1,0,0,0,0
U002910,2026-01-01,Referral,104,1,1,1,0,0,0
U002981,2026-01-01,Referral,285,1,0,1,0,1,0
U003054,2026-01-01,Organic,760,1,1,1,0,1,0
U003089,2026-01-01,Search,84,0,0,0,0,0,0
U003209,2026-01-01,Organic,175,1,0,1,1,0,1
U003312,2026-01-01,Referral,230,1,1,0,1,1,0
U003316,2026-01-01,Organic,178,0,0,1,0,0,0
U003391,2026-01-01,Organic,64,1,0,0,0,0,0
U003465,2026-01-01,Organic,42,0,0,1,0,1,0
U003476,2026-01-01,Search,94,1,0,1,0,0,0
U003503,2026-01-01,Organic,162,1,1,1,0,0,0
